season tcID TC YYYYMMDDHH lat lon vmax pmin status distance
2019 EP01 Alvin 2019062512 14.6 -103.8 25 1007 TD 405
2019 EP01 Alvin 2019062518 15.1 -105.1 25 1007 TD 399
2019 EP01 Alvin 2019062600 15.3 -106.5 30 1006 TD 467
2019 EP01 Alvin 2019062606 15.2 -107.7 30 1006 TD 528
2019 EP01 Alvin 2019062612 14.6 -108.7 35 1005 TS 524
2019 EP01 Alvin 2019062618 14.3 -109.7 40 1004 TS 516
2019 EP01 Alvin 2019062700 14.5 -110.7 45 1001 TS 476
2019 EP01 Alvin 2019062706 15.0 -111.6 50 999 TS 424
2019 EP01 Alvin 2019062712 15.6 -112.6 50 999 TS 391
2019 EP01 Alvin 2019062718 16.3 -113.7 55 998 TS 396
2019 EP01 Alvin 2019062800 17.0 -114.8 65 992 HU 448
2019 EP01 Alvin 2019062806 17.8 -116.0 60 995 TS 539
2019 EP01 Alvin 2019062812 18.6 -117.1 55 997 TS 643
2019 EP01 Alvin 2019062818 19.3 -118.0 50 999 TS 737
2019 EP01 Alvin 2019062900 19.8 -118.8 40 1004 TS 825
2019 EP01 Alvin 2019062906 20.2 -119.5 30 1006 LO 904
2019 EP01 Alvin 2019062912 20.5 -120.1 25 1007 LO 945
2019 EP01 Alvin 2019062918 20.8 -120.5 25 1007 LO 932
2019 EP01 Alvin 2019063000 21.2 -121.0 20 1008 LO 903
2019 EP02 Barbara 2019063006 10.4 -108.2 35 1006 TS 978
2019 EP02 Barbara 2019063012 10.5 -109.7 35 1006 TS 930
2019 EP02 Barbara 2019063018 10.7 -111.4 40 1003 TS 898
2019 EP02 Barbara 2019070100 10.9 -113.2 45 1000 TS 906
2019 EP02 Barbara 2019070106 11.1 -115.0 55 998 TS 955
2019 EP02 Barbara 2019070112 11.3 -116.6 60 992 TS 1025
2019 EP02 Barbara 2019070118 11.4 -118.0 70 985 HU 1111
2019 EP02 Barbara 2019070200 11.6 -119.3 80 981 HU 1195
