YEAR,PART_ID,NAME,DATETIME,LAT,LON,WIND,PRESSURE,CATEGORY,DISTANCE,ID,LEADING,RI,RW,NEAR_LAND
2015,AL01,ANA,2015-05-07 18:00:00,31.2,-77.5,40,1005,LO,272,AL012015,True,False,False,False
2015,AL01,ANA,2015-05-08 00:00:00,31.4,-77.6,40,1003,SS,249,AL012015,True,False,False,True
2015,AL01,ANA,2015-05-08 06:00:00,31.5,-77.6,40,1002,SS,241,AL012015,True,False,False,True
2015,AL01,ANA,2015-05-08 12:00:00,31.5,-77.5,40,1000,SS,247,AL012015,True,False,False,True
2015,AL01,ANA,2015-05-08 18:00:00,31.6,-77.4,45,999,SS,245,AL012015,True,False,False,True
2015,AL01,ANA,2015-05-09 00:00:00,31.9,-77.3,50,998,SS,229,AL012015,False,False,False,True
2015,AL01,ANA,2015-05-09 06:00:00,32.2,-77.5,50,998,TS,194,AL012015,False,False,False,True
2015,AL01,ANA,2015-05-09 12:00:00,32.5,-77.8,50,1001,TS,152,AL012015,False,False,False,True
2015,AL02,BILL,2015-06-16 00:00:00,27.0,-94.3,45,1005,TS,237,AL022015,True,False,False,True
2015,AL02,BILL,2015-06-16 06:00:00,27.6,-95.2,45,1001,TS,139,AL022015,True,False,False,True
2015,AL02,BILL,2015-06-16 12:00:00,28.0,-96.0,50,997,TS,67,AL022015,False,False,False,True
2015,AL02,BILL,2015-06-16 18:00:00,28.2,-96.7,50,997,TS,8,AL022015,False,False,False,True
2015,AL04,DANNY,2015-08-18 12:00:00,10.5,-35.9,35,1008,TS,1333,AL042015,True,False,False,False
2015,AL04,DANNY,2015-08-18 18:00:00,10.7,-37.1,40,1006,TS,1447,AL042015,True,False,False,False
2015,AL04,DANNY,2015-08-19 00:00:00,10.9,-38.4,45,1005,TS,1537,AL042015,True,False,False,False
2015,AL04,DANNY,2015-08-19 06:00:00,11.0,-39.5,45,1003,TS,1494,AL042015,True,False,False,False
2015,AL04,DANNY,2015-08-19 12:00:00,11.2,-40.6,45,1002,TS,1412,AL042015,True,False,False,False
2015,AL04,DANNY,2015-08-19 18:00:00,11.5,-41.5,50,1001,TS,1351,AL042015,False,True,False,False
2015,AL04,DANNY,2015-08-20 00:00:00,11.7,-42.5,55,1000,TS,1280,AL042015,False,True,False,False
2015,AL04,DANNY,2015-08-20 06:00:00,11.9,-43.5,60,998,TS,1215,AL042015,False,True,False,False
2015,AL04,DANNY,2015-08-20 12:00:00,12.3,-44.4,65,995,HU,1179,AL042015,False,True,False,False
2015,AL04,DANNY,2015-08-20 18:00:00,12.8,-45.3,75,990,HU,1161,AL042015,False,True,False,False
2015,AL04,DANNY,2015-08-21 00:00:00,13.2,-46.2,85,981,HU,1137,AL042015,False,True,False,False
2015,AL04,DANNY,2015-08-21 06:00:00,13.5,-47.0,95,973,HU,1112,AL042015,False,True,False,False
2015,AL04,DANNY,2015-08-21 12:00:00,13.8,-47.8,110,960,HU,1092,AL042015,False,True,True,False
2015,AL04,DANNY,2015-08-21 18:00:00,14.3,-48.6,105,966,HU,1099,AL042015,False,False,True,False
2015,AL04,DANNY,2015-08-22 00:00:00,14.7,-49.4,95,973,HU,1100,AL042015,False,False,True,False
2015,AL04,DANNY,2015-08-22 06:00:00,15.0,-50.3,85,980,HU,1009,AL042015,False,False,True,False
2015,AL04,DANNY,2015-08-22 12:00:00,15.3,-51.4,75,985,HU,901,AL042015,False,False,True,False
